,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
2797,0.532,0.958,4,-5.933,0,0.0651,0.00104,0.00479,0.151,0.0834,137.969,audio_features,3P15QdmhBBVSsIVToWkiH1,spotify:track:3P15QdmhBBVSsIVToWkiH1,https://api.spotify.com/v1/tracks/3P15QdmhBBVSsIVToWkiH1,https://api.spotify.com/v1/audio-analysis/3P15QdmhBBVSsIVToWkiH1,231331,4,trance
2798,0.595,0.837,1,-9.519,1,0.0385,0.000177,0.78,0.0581,0.227,136.005,audio_features,1pMEIm66x5BvhzIMuBW8ok,spotify:track:1pMEIm66x5BvhzIMuBW8ok,https://api.spotify.com/v1/tracks/1pMEIm66x5BvhzIMuBW8ok,https://api.spotify.com/v1/audio-analysis/1pMEIm66x5BvhzIMuBW8ok,490040,4,trance
2799,0.629,0.914,6,-7.344,0,0.0382,0.0343,0.531,0.0949,0.724,131.959,audio_features,5xspb4pHCUdfQvWc5y3e51,spotify:track:5xspb4pHCUdfQvWc5y3e51,https://api.spotify.com/v1/tracks/5xspb4pHCUdfQvWc5y3e51,https://api.spotify.com/v1/audio-analysis/5xspb4pHCUdfQvWc5y3e51,228653,4,trance
2800,0.647,0.935,7,-6.143,1,0.0463,0.00181,0.857,0.499,0.368,139.999,audio_features,4vj4jd1IWz86LEDrkUgXba,spotify:track:4vj4jd1IWz86LEDrkUgXba,https://api.spotify.com/v1/tracks/4vj4jd1IWz86LEDrkUgXba,https://api.spotify.com/v1/audio-analysis/4vj4jd1IWz86LEDrkUgXba,473143,4,trance
2801,0.664,0.936,1,-4.827,1,0.0687,0.0343,0.886,0.269,0.269,142.011,audio_features,0B8b6MFJ5HsFSCDcrfADeC,spotify:track:0B8b6MFJ5HsFSCDcrfADeC,https://api.spotify.com/v1/tracks/0B8b6MFJ5HsFSCDcrfADeC,https://api.spotify.com/v1/audio-analysis/0B8b6MFJ5HsFSCDcrfADeC,361690,4,trance
2802,0.806,0.927,9,-7.755,0,0.0561,0.0464,0.917,0.0502,0.486,136.188,audio_features,15WdpL5KeSWGe77wTkfaAC,spotify:track:15WdpL5KeSWGe77wTkfaAC,https://api.spotify.com/v1/tracks/15WdpL5KeSWGe77wTkfaAC,https://api.spotify.com/v1/audio-analysis/15WdpL5KeSWGe77wTkfaAC,356827,4,trance
2803,0.476,0.995,7,-2.989,1,0.106,0.00234,0.476,0.193,0.152,137.991,audio_features,7kzJcyaB301ilueBSPf7k3,spotify:track:7kzJcyaB301ilueBSPf7k3,https://api.spotify.com/v1/tracks/7kzJcyaB301ilueBSPf7k3,https://api.spotify.com/v1/audio-analysis/7kzJcyaB301ilueBSPf7k3,262609,4,trance
2804,0.628,0.95,9,-10.549,0,0.0436,5.73e-05,0.835,0.0549,0.36,146.613,audio_features,2bM8Eqp2QJUCViTKwwWyRn,spotify:track:2bM8Eqp2QJUCViTKwwWyRn,https://api.spotify.com/v1/tracks/2bM8Eqp2QJUCViTKwwWyRn,https://api.spotify.com/v1/audio-analysis/2bM8Eqp2QJUCViTKwwWyRn,268480,4,trance
2805,0.594,0.741,8,-9.646,1,0.0532,0.0104,0.931,0.122,0.375,139.847,audio_features,0ExfQjxN9IlxefyWhOwOML,spotify:track:0ExfQjxN9IlxefyWhOwOML,https://api.spotify.com/v1/tracks/0ExfQjxN9IlxefyWhOwOML,https://api.spotify.com/v1/audio-analysis/0ExfQjxN9IlxefyWhOwOML,435960,4,trance
2806,0.519,0.908,8,-5.395,0,0.0685,0.00225,0.000413,0.105,0.171,135.003,audio_features,3EyfgIy1D5eQVZlOXl8Hie,spotify:track:3EyfgIy1D5eQVZlOXl8Hie,https://api.spotify.com/v1/tracks/3EyfgIy1D5eQVZlOXl8Hie,https://api.spotify.com/v1/audio-analysis/3EyfgIy1D5eQVZlOXl8Hie,202667,4,trance
2807,0.7,0.89,6,-4.802,0,0.119,0.0132,0.745,0.186,0.408,140.047,audio_features,5SIJt068nCivJx4X1Zyior,spotify:track:5SIJt068nCivJx4X1Zyior,https://api.spotify.com/v1/tracks/5SIJt068nCivJx4X1Zyior,https://api.spotify.com/v1/audio-analysis/5SIJt068nCivJx4X1Zyior,206515,4,trance
2808,0.588,0.977,10,-6.731,0,0.0374,1.83e-05,0.89,0.114,0.265,134.889,audio_features,5xfFIhjdhhiNvgeVjCuJdw,spotify:track:5xfFIhjdhhiNvgeVjCuJdw,https://api.spotify.com/v1/tracks/5xfFIhjdhhiNvgeVjCuJdw,https://api.spotify.com/v1/audio-analysis/5xfFIhjdhhiNvgeVjCuJdw,538935,4,trance
2809,0.595,0.953,9,-8.604,0,0.0603,0.047,0.649,0.226,0.551,134.638,audio_features,0nRTCJXOCbZv8BnnnTDBgS,spotify:track:0nRTCJXOCbZv8BnnnTDBgS,https://api.spotify.com/v1/tracks/0nRTCJXOCbZv8BnnnTDBgS,https://api.spotify.com/v1/audio-analysis/0nRTCJXOCbZv8BnnnTDBgS,517747,4,trance
2810,0.612,0.883,11,-8.662,0,0.0374,0.00208,0.854,0.104,0.159,137.005,audio_features,2uhlW5a51G4AUedEuwN2rF,spotify:track:2uhlW5a51G4AUedEuwN2rF,https://api.spotify.com/v1/tracks/2uhlW5a51G4AUedEuwN2rF,https://api.spotify.com/v1/audio-analysis/2uhlW5a51G4AUedEuwN2rF,514907,4,trance
2811,0.664,0.89,6,-13.503,1,0.0674,0.000372,0.834,0.0741,0.363,137.987,audio_features,5Tt9LgTgqH81zTovXreLbs,spotify:track:5Tt9LgTgqH81zTovXreLbs,https://api.spotify.com/v1/tracks/5Tt9LgTgqH81zTovXreLbs,https://api.spotify.com/v1/audio-analysis/5Tt9LgTgqH81zTovXreLbs,513256,4,trance
2812,0.593,0.866,6,-9.554,1,0.0738,0.00324,0.841,0.13,0.716,140.039,audio_features,3NWC4GuRPCAOv5teTw2aGK,spotify:track:3NWC4GuRPCAOv5teTw2aGK,https://api.spotify.com/v1/tracks/3NWC4GuRPCAOv5teTw2aGK,https://api.spotify.com/v1/audio-analysis/3NWC4GuRPCAOv5teTw2aGK,504520,4,trance
2813,0.581,0.794,10,-9.041,0,0.0423,0.00057,0.828,0.0829,0.398,136.011,audio_features,0Ubm92673vsQGDpKA73ro8,spotify:track:0Ubm92673vsQGDpKA73ro8,https://api.spotify.com/v1/tracks/0Ubm92673vsQGDpKA73ro8,https://api.spotify.com/v1/audio-analysis/0Ubm92673vsQGDpKA73ro8,535684,4,trance
2814,0.542,0.991,4,-5.191,1,0.0578,7.35e-05,0.762,0.0973,0.445,145.006,audio_features,2tx40vF0SVykXXx6T3aoLu,spotify:track:2tx40vF0SVykXXx6T3aoLu,https://api.spotify.com/v1/tracks/2tx40vF0SVykXXx6T3aoLu,https://api.spotify.com/v1/audio-analysis/2tx40vF0SVykXXx6T3aoLu,501517,4,trance
